,country,year,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
431,HRV,1982,4634234.0,,
432,HRV,1981,4611509.0,,
433,HRV,1980,4599782.0,,
434,HRV,1979,4594778.0,,
435,HRV,1978,4581085.0,,
436,HRV,1977,4559571.0,,
437,HRV,1976,4535934.0,,
438,HRV,1975,4512082.0,,
439,HRV,1974,4490660.0,,
440,HRV,1973,4470161.0,,
441,HRV,1972,4450564.0,,
442,HRV,1971,4431275.0,,
443,HRV,1970,4412252.0,,
444,HRV,1969,4391490.0,,
445,HRV,1968,4365628.0,,
446,HRV,1967,4338683.0,,
447,HRV,1966,4310701.0,,
448,HRV,1965,4280923.0,,
449,HRV,1964,4252876.0,,
450,HRV,1963,4225675.0,,
451,HRV,1962,4196712.0,,
452,HRV,1961,4167292.0,,
453,HRV,1960,4140181.0,,
454,JPN,2023,124516650.0,33766.5268253808,3.26813365933163
455,JPN,2022,125124989.0,34017.2718075024,2.49770278172255
456,JPN,2021,125681593.0,40058.5373276179,-0.233352779398264
457,JPN,2020,126261000.0,40040.7655055923,-0.024995834027731
458,JPN,2019,126633000.0,40415.9567649547,0.46877615938395
459,JPN,2018,126811000.0,39751.1330982711,0.989094598021848
460,JPN,2017,126972000.0,38834.0529341227,0.484199796126385
461,JPN,2016,127076000.0,39375.4731620781,-0.127258844489754
462,JPN,2015,127141000.0,34960.6393843385,0.795279630579839
463,JPN,2014,127276000.0,38475.3952461838,2.75922671353253
464,JPN,2013,127445000.0,40898.6478964744,0.335037912184741
465,JPN,2012,127629000.0,49145.2804308193,-0.0440645104432602
466,JPN,2011,127833000.0,48760.0789494211,-0.27245561610124
467,JPN,2010,128070000.0,44968.1562349739,-0.728243207517779
468,JPN,2009,128047000.0,41308.9968370512,-1.35283672951719
469,JPN,2008,128063000.0,39876.3039685725,1.3800788616492
470,JPN,2007,128001000.0,35779.0245416427,0.060039454498669
471,JPN,2006,127854000.0,35991.546002862,0.249355116079085
472,JPN,2005,127773000.0,37812.8950199948,-0.282946068764391
473,JPN,2004,127761000.0,38298.9801712303,-0.00857338820310272
474,JPN,2003,127718000.0,35387.0374203599,-0.256541816316025
475,JPN,2002,127445000.0,32820.7936433254,-0.923494026942321
476,JPN,2001,127149000.0,34406.1824638092,-0.740055504162738
477,JPN,2000,126843000.0,39169.3595701504,-0.676578683595175
478,JPN,1999,126631000.0,36610.1683163197,-0.341296928327554
479,JPN,1998,126400000.0,32423.7556133801,0.661974191385911
480,JPN,1997,126057000.0,35638.2319556941,1.74780458692133
481,JPN,1996,125757000.0,39150.0396308089,0.136600358575909
482,JPN,1995,125472000.0,44197.6191013908,-0.127899045020446
483,JPN,1994,125178000.0,39933.5150564874,0.695458057869004
484,JPN,1993,124829000.0,36345.2441262708,1.24304589707924
485,JPN,1992,124425000.0,31992.7902119161,1.7602830605927
486,JPN,1991,123964000.0,29428.4289039469,3.25143848753308
487,JPN,1990,123478000.0,25801.3950393094,3.0785162869516
488,JPN,1989,123069000.0,25265.9487590208,2.27228962064317
489,JPN,1988,122578000.0,25499.8811728107,0.678557580457558
490,JPN,1987,122069000.0,21141.7183951789,0.126176841696583
491,JPN,1986,121482000.0,17451.8349394142,0.595586799453249
492,JPN,1985,120837000.0,11809.4603450715,2.0322773460849
493,JPN,1984,120083000.0,11207.4523524293,2.26161369193155
494,JPN,1983,119307000.0,10652.0147161768,1.89971971348485
495,JPN,1982,118480000.0,9779.97490636267,2.7410409556314
496,JPN,1981,117661000.0,10583.1278908402,4.91216291820523
497,JPN,1980,116807000.0,9668.74626395709,7.77858176555718
498,JPN,1979,115890000.0,9301.14831026293,3.70185092546269
499,JPN,1978,114913000.0,9012.13603523182,4.20956601068681
500,JPN,1977,113872000.0,6472.7877874079,8.16182689596842
501,JPN,1976,112775000.0,5310.43140904992,9.37403638606234
502,JPN,1975,111573000.0,4775.89953559305,11.7312661498708
503,JPN,1974,110162000.0,4448.31965623627,23.2222458076842
504,JPN,1973,108707000.0,4061.0133895326,11.6086235489221
505,JPN,1972,107188000.0,3031.43860570759,4.84351713859905
506,JPN,1971,105697000.0,2321.39092521418,6.39534883720926
507,JPN,1970,103403000.0,2100.74807036009,6.92417383485781
508,JPN,1969,102219000.0,1802.98028061972,5.24982091102027
509,JPN,1968,101011000.0,1553.27139379996,5.33943295739344
510,JPN,1967,99879000.0,1326.36103912253,3.98984808881518
511,JPN,1966,98851000.0,1143.60789652395,5.04083205887676
512,JPN,1965,97952000.0,993.732722209078,6.65599094260621
513,JPN,1964,96903000.0,902.867721515126,3.80038945305753
514,JPN,1963,95900000.0,775.592123080162,6.7069055639799
515,JPN,1962,94933000.0,684.565509797705,6.8354403481973
516,JPN,1961,94055000.0,608.864581144951,5.36846178480055
517,JPN,1960,93216000.0,508.702779291773,3.5745115253591
518,JPN,2024,,,2.73853681635241
519,SVN,2023,2120461.0,32610.110922729,7.44687717385838
520,SVN,2022,2112076.0,28373.8382265999,8.83369886749452
521,SVN,2021,2108079.0,29187.369382785,1.91706506089259
522,SVN,2020,2102419.0,25392.0651093612,-0.05485681576061
523,SVN,2019,2088385.0,25814.1687167572,1.63052260754344
524,SVN,2018,2073894.0,25888.0481065655,1.7386086198818
525,SVN,2017,2066388.0,23303.077705959,1.42910743319306
526,SVN,2016,2065042.0,21447.8377796036,-0.054999541670474
527,SVN,2015,2063531.0,20697.2748530619,-0.525552285820877
528,SVN,2014,2061980.0,24013.0682060959,0.19934382657075
529,SVN,2013,2059953.0,23236.9655321695,1.76920085881907
530,SVN,2012,2057159.0,22442.1417859955,2.59741386039003
531,SVN,2011,2052843.0,24940.6284841605,1.8028517194191
532,SVN,2010,2048583.0,23329.8417691156,1.80117022137134
533,SVN,2009,2039669.0,24501.7897290425,0.839262246793887
534,SVN,2008,2021316.0,27461.9764165315,5.64742380573935
535,SVN,2007,2018122.0,23725.1596001515,3.65749563284099
536,SVN,2006,2006868.0,19563.005059144,2.45792444195865
537,SVN,2005,2000474.0,17969.7095907161,2.45150132316475
538,SVN,2004,1997012.0,17103.8297783905,3.59297594249509
539,SVN,2003,1995733.0,14711.674874253,5.54416421752901
540,SVN,2002,1994530.0,11639.1297780477,7.48077770703754
541,SVN,2001,1992060.0,10375.6255869861,8.37966587492204
542,SVN,2000,1988925.0,10135.7219109212,8.91174418658769
543,SVN,1999,1983045.0,11401.4906790909,6.15558754451559
544,SVN,1998,1981629.0,11131.5666628231,7.89116682856684
545,SVN,1997,1985956.0,10436.7260661871,8.359679907043
546,SVN,1996,1988628.0,10796.7399446283,9.86445061546851
