Country,TIME_PERIOD,IRLT,UNEMP
HRV,2023,3.795833333333334,6.066666666666666
HRV,2024,3.31,5.008333333333334
HUN,2000,8.55,6.26666666666667
HUN,2001,7.945,5.575
HUN,2002,7.08583333333333,5.58333333333333
HUN,2003,6.77333333333333,5.74166666666667
HUN,2004,8.29166666666666,6.06666666666667
HUN,2005,6.59833333333333,7.175
HUN,2006,7.11583333333333,7.45833333333333
HUN,2007,6.74416666666667,7.39166666666667
HUN,2008,8.23833333333333,7.8
HUN,2009,9.12333333333333,9.675
HUN,2010,7.28166666666667,10.8
HUN,2011,7.63540873,10.6583333333333
HUN,2012,7.89083333333333,10.5833333333333
HUN,2013,5.92333333333333,9.63333333333333
HUN,2014,4.80916666666667,7.45833333333333
HUN,2015,3.4325,6.51666666666667
HUN,2016,3.14333333333333,4.88333333333333
HUN,2017,2.9625,4.05
HUN,2018,3.05833333333333,3.4916666666666663
HUN,2019,2.465,3.2583333333333333
HUN,2020,2.225,4.125
HUN,2021,3.06083333333333,4.05
HUN,2022,7.57083333333333,3.6666666666666665
HUN,2023,7.512500000000002,4.083333333333333
HUN,2024,6.500833333333333,4.391666666666667
IDN,2012,5.79583333333333,
IDN,2013,6.9875,
IDN,2014,8.13166666666667,
IDN,2015,8.22166666666666,
IDN,2016,7.63833333333333,
IDN,2017,6.87833333333333,
IDN,2018,7.4575,
IDN,2019,7.4653,
IDN,2020,6.90489558333333,
IDN,2021,6.36295066666667,
IDN,2022,6.9726535,
IDN,2023,6.599999999999999,
IDN,2024,6.793333333333333,
IND,2012,8.26,
IND,2013,8.109166666666665,
IND,2014,8.586666666666666,
IND,2015,7.776666666666667,
IND,2016,7.205000000000001,
IND,2017,6.922499999999999,
IND,2018,7.704166666666667,
IND,2019,6.996666666666666,
IND,2020,6.191666666666666,
IND,2021,6.2575,
IND,2022,7.191666666666666,
IND,2023,7.218333333333331,
IND,2024,6.976666666666667,
IRL,2000,5.512499999999999,4.4
IRL,2001,5.011666666666667,4.175
IRL,2002,5.010000000000001,4.725
IRL,2003,4.132499999999999,4.85
IRL,2004,4.076666666666666,4.74166666666667
IRL,2005,3.329166666666666,4.63333333333333
IRL,2006,3.765,4.79166666666667
IRL,2007,4.305833333333334,5.0
IRL,2008,4.525833333333333,6.79166666666667
IRL,2009,5.2250000000000005,12.6583333333333
IRL,2010,5.739166666666667,14.575
IRL,2011,9.601666666666668,15.4083333333333
IRL,2012,6.171666666666667,15.4833333333333
IRL,2013,3.79,13.775
IRL,2014,2.3675,11.8833333333333
IRL,2015,1.1825,9.925
IRL,2016,0.7358333333333333,8.40833333333333
IRL,2017,0.8016666666666667,6.749999999999999
IRL,2018,0.9518416666666668,5.8
IRL,2019,0.3310583333333333,5.008333333333333
IRL,2020,-0.0610416666666666,5.858333333333333
IRL,2021,0.0631583333333333,6.258333333333333
IRL,2022,1.74561666666667,4.466666666666667
IRL,2023,2.866616666666667,4.308333333333334
