,REF_AREA,TIME_PERIOD,Education spending,Health spending,Housing spending,Community development spending
127,COL,2016,0.04425734733995385,0.0956027794049888,0.002306275268528403,1.5354305831795526e-05
128,COL,2017,0.04711582439537758,0.10104566031265164,0.00234833458398184,1.5435412956007847e-05
129,COL,2018,0.046988028652153006,0.09883664606248974,0.002291557274784368,1.8222478236926046e-05
130,COL,2019,0.0460772433209103,0.10468607995539789,0.004414256547938145,1.8866714211833523e-05
131,COL,2020,0.04946543351338445,0.12442161163297473,0.003713745896140539,3.621902288272385e-05
132,COL,2021,0.0439657979855245,0.12499677982790314,0.0035253340902358134,3.651508593908689e-05
133,COL,2022,0.03793776985596382,0.10745274941292238,0.0035108784469384605,3.801566209370984e-05
134,COL,2023,0.03794379293437412,0.1136271493419857,0.0038702185304790365,4.3093595504617645e-05
135,CRI,2012,0.07127909406488796,0.06285497045120558,0.0,0.006449713665473707
136,CRI,2013,0.07370165219273282,0.06335601316694893,0.0,0.006488150864003449
137,CRI,2014,0.07314249747370845,0.06168534541371896,0.0,0.006536925703163201
138,CRI,2015,0.07415525035831985,0.06158468334416454,0.0,0.006505203063084565
139,CRI,2016,0.07522547033637755,0.06062979173787581,0.0,0.006628715698629117
140,CRI,2017,0.07673545402379384,0.05887086609066956,0.003232579589781724,0.0062931494651850255
141,CRI,2018,0.0768013305681132,0.056701160730386696,0.0029457725552308155,0.006411279948423697
142,CRI,2019,0.07510390857335551,0.06066695782091768,0.003315405832944488,0.005858096417549857
143,CRI,2020,0.07530449264589736,0.0654033911376796,0.004022618992084922,0.005422767791979601
144,CRI,2021,0.0656167510553949,0.06487833544763597,0.002931938545646131,0.004947772355481129
145,CZE,2000,0.043655074944046614,0.06743250048388388,0.0010550521610652784,0.0015617438782277503
146,CZE,2001,0.04342808646653499,0.07018583199223473,0.0014964025315624071,0.0015994297300995816
147,CZE,2002,0.04719131923538266,0.07252540400907666,0.0039471846305069455,0.0015969920767362528
148,CZE,2003,0.05025841831683452,0.07359918847859886,0.004520688113110403,0.0026489509907006224
149,CZE,2004,0.045906254168290736,0.07155582474514986,0.000828753170532607,0.0018430770978902179
150,CZE,2005,0.045425030881775234,0.06885003023855521,0.0007523197643694733,0.0022378015949858342
151,CZE,2006,0.04676638431951832,0.06953984618588777,0.0006515120440401227,0.0020196873365243805
152,CZE,2007,0.041229078859655974,0.0676739786724832,0.0005481479998070044,0.0007872172788146003
153,CZE,2008,0.04091806905830391,0.06931866503580304,0.000527794521867729,0.0010067971522253957
154,CZE,2009,0.04397155750658026,0.07804476233080428,0.0007205668222445542,0.0020382688654557524
155,CZE,2010,0.04323086414120469,0.07678742519127417,0.001057042087284945,0.0015524608277013938
156,CZE,2011,0.043672160288912666,0.07596777324554278,0.0013473801416482814,0.002191263028479826
157,CZE,2012,0.043058615680997406,0.07658631318191166,0.0018094467104346238,0.0011548213304920921
158,CZE,2013,0.042646805201521344,0.07537902874326777,0.0024619747945016177,0.0020611603087638737
159,CZE,2014,0.04278355071995347,0.07506091264235115,0.0027720477269140083,0.0021322565532912218
160,CZE,2015,0.04161044306811125,0.07501397842088657,0.0026550938311578703,0.0016142093416050885
161,CZE,2016,0.0371569038391255,0.0735564305816813,0.002524865631639696,0.0008901452190054572
162,CZE,2017,0.03808880043495861,0.07297352714938427,0.0021433216252869118,0.0009929828951311221
163,CZE,2018,0.04332538985819902,0.07403648763380076,0.001762490884848587,0.002719798647606466
164,CZE,2019,0.04550449330762826,0.07434636430187175,0.0014799106585661837,0.0020253464629625788
165,CZE,2020,0.047377819810106366,0.0915588339551821,0.00147898587551331,0.0018406682682722494
166,CZE,2021,0.04683441256041171,0.09529935769540819,0.0013364501316236908,0.0015213019529135155
167,CZE,2022,0.04548763438541854,0.08776357925363736,0.0017102438171927065,0.0019486878627016173
168,CZE,2023,0.045397835836891484,0.08897275428929664,0.002496535761299683,0.0032981311290313947
169,DEU,2000,0.04033460740212019,0.064338438999652,0.0017354882939060554,0.002460486650451226
170,DEU,2001,0.04117912303635344,0.06490961180216531,0.0023465860179547942,0.0024030644081384886
171,DEU,2002,0.041422891479562386,0.06647416522740345,0.0023271085204375317,0.0024409002590673533
172,DEU,2003,0.04137967966940678,0.06739527224530663,0.0023513818663787626,0.0024031488613493325
173,DEU,2004,0.04068834385793471,0.0636360464710593,0.002380246310574573,0.002359749502843352
174,DEU,2005,0.04053729828740334,0.06434121193097804,0.004720278968572879,0.002254795309819291
175,DEU,2006,0.03975797343972805,0.06314164653900331,0.005035075715734167,0.002222423727835513
176,DEU,2007,0.03879719300453964,0.06246823642328407,0.004659706870373174,0.0020312954819016603
177,DEU,2008,0.03902412653300793,0.06367620709894657,0.004371582589354668,0.002036158907664267
178,DEU,2009,0.04277978411700809,0.06996957757318015,0.004961380753305782,0.0022253664519594203
179,DEU,2010,0.04325053706719364,0.06854277042575634,0.004787351972049681,0.0021796136174247267
180,DEU,2011,0.04237556454048888,0.06674151415126998,0.004732859986680334,0.0021471644691590896
181,DEU,2012,0.04153650575993262,0.06704482963026452,0.004453681286111175,0.0020686478263664235
182,DEU,2013,0.04225014648028832,0.06917984989258175,0.004492759688624799,0.0021131525348065255
183,DEU,2014,0.0418475329713209,0.06992700583216255,0.0029144068846999873,0.0020307051189714163
184,DEU,2015,0.04160193152172151,0.07042373567967851,0.0030291834783595026,0.0019477257628052436
185,DEU,2016,0.0411484585949807,0.0705091501856965,0.003395064625435392,0.0019304717296964678
186,DEU,2017,0.040998345896713445,0.06984578714002297,0.0034339904716446158,0.0018480326377694077
187,DEU,2018,0.04181945889546514,0.07034300653137464,0.0031899111954370126,0.0019512522113705616
188,DEU,2019,0.042956196532837686,0.07156763454487719,0.002983128140134831,0.001954804689268059
189,DEU,2020,0.04569227914958667,0.0833285985122984,0.003110487531959986,0.0021034200868501078
190,DEU,2021,0.04473705684272368,0.08525592553706549,0.0029648085386485895,0.0019956697475288715
191,DEU,2022,0.04393009345321652,0.08361875134362717,0.0030825650947810387,0.0019778190877246245
192,DEU,2023,0.044749913392505176,0.07527780100584154,0.003849912197919032,0.0020749961175950595
193,DNK,2000,0.06292719481917991,0.06693054379127936,0.006520125450260414,0.0
194,DNK,2001,0.06391094900815704,0.06928585290569926,0.006460353390489492,0.0
195,DNK,2002,0.06570258949725467,0.07069549124484509,0.006535684646588539,0.0
196,DNK,2003,0.06556885223687388,0.0713418471130588,0.006782747222246541,0.0
197,DNK,2004,0.06613694425323588,0.071920650979453,0.006763905399089779,2.066685944006701e-06
198,DNK,2005,0.06319314963916939,0.0741352825712572,0.0066899413164370775,0.0
199,DNK,2006,0.061391404143890015,0.07506353005738585,0.006504702568469835,4.747113474131763e-07
200,DNK,2007,0.05882327723585907,0.08024198759214131,0.006405331944132093,6.138331724396699e-07
201,DNK,2008,0.060328105264472846,0.08263990870205139,0.006300552410828178,2.2102722731896178e-07
202,DNK,2009,0.06859618242287747,0.0928709189171824,0.006726850057389246,6.360152569988138e-07
203,DNK,2010,0.0706420359139925,0.0898668143362683,0.006746118569108254,7.391489363136302e-06
204,DNK,2011,0.06761759077737946,0.08848102111571271,0.00689299192469959,0.0
205,DNK,2012,0.06935166421447146,0.09079911794596167,0.006986816290810643,0.0
206,DNK,2013,0.06845096923734975,0.08881369505219512,0.006896238322125921,0.0
207,DNK,2014,0.07108251109526087,0.08953570790982372,0.0070068836746768936,0.0
208,DNK,2015,0.07008891016850397,0.08927217119254648,0.0070565847011632,0.0
209,DNK,2016,0.06790801071769828,0.0880576190306574,0.006838102067210387,0.0
210,DNK,2017,0.06427075252442392,0.08667831417146996,0.006676863634686606,0.0
211,DNK,2018,0.06390975338988715,0.08690305368980303,0.006607867624617286,0.0
212,DNK,2019,0.06320646868844253,0.08730796453695132,0.006600745724797313,0.0
213,DNK,2020,0.06215753899645247,0.0930500468085024,0.006713857934869083,0.0
214,DNK,2021,0.05825354144774585,0.09342325839366124,0.006058698777325529,0.0
215,DNK,2022,0.05323899256812626,0.08260596379902592,0.0055070375324845185,0.0
216,DNK,2023,0.05532282321773523,0.08244212797284567,0.005723146205559928,0.0
217,EA20,2000,,,,
218,EA20,2001,,,,
219,EA20,2002,,,,
220,EA20,2003,,,,
221,EA20,2004,,,,
222,EA20,2005,,,,
223,EA20,2006,,,,
224,EA20,2007,,,,
225,EA20,2008,,,,
226,EA20,2009,,,,
227,EA20,2010,,,,
228,EA20,2011,,,,
229,EA20,2012,,,,
230,EA20,2013,,,,
231,EA20,2014,,,,
232,EA20,2015,,,,
233,EA20,2016,,,,
234,EA20,2017,,,,
235,EA20,2018,,,,
236,EA20,2019,,,,
237,EA20,2020,,,,
238,EA20,2021,,,,
239,EA20,2022,,,,
240,EA20,2023,,,,
241,ESP,2000,0.04074778131751172,0.051460153280962616,0.0004138555119222777,0.0041184800384205765
242,ESP,2001,0.03989397367602838,0.050459513979442275,0.0003124295606869623,0.0055766536654124925
243,ESP,2002,0.040393787746217366,0.0511561279583431,0.0003001024349644678,0.006399517702042296
244,ESP,2003,0.04021014522545157,0.05171655560165279,0.0004883621554212732,0.006164326390368518
245,ESP,2004,0.04079603841131781,0.05454742058393604,0.0005987961291027637,0.004414813402336299
246,ESP,2005,0.03956915146930969,0.05652489651144793,0.0006162982883715492,0.004636243942067791
247,ESP,2006,0.03961487637515699,0.056427218162423444,0.000775142888984409,0.004015021254238884
248,ESP,2007,0.04019893442569743,0.05686094543038326,0.0007127339006126056,0.004230001457021166
249,ESP,2008,0.04227314568441037,0.06054032965610481,0.0007775756181051962,0.005544608569332775
250,ESP,2009,0.04628747705011216,0.06802766102200372,0.0010167848721796071,0.007442753427338535
251,ESP,2010,0.04501993696299119,0.06604960334959702,0.0011437643028561883,0.001280236179901529
252,ESP,2011,0.04409136419354561,0.06485697442663485,0.001193049434354216,0.0009207534458074891
253,ESP,2012,0.04178813163391787,0.06247417863941232,0.0007809151669363045,0.000846554513477304
254,ESP,2013,0.04105291073385551,0.061753889233385734,0.0006239933232714465,0.0008560408403630155
255,ESP,2014,0.04096062463123714,0.061118495710567884,0.00045526777541533907,0.0008855102608501309
256,ESP,2015,0.040832959253508515,0.061156532169638664,0.00040658184253324547,0.0006521867112128304
257,ESP,2016,0.040364498689633245,0.060298299059546784,0.0003811331944750051,0.0005467658444104045
258,ESP,2017,0.03969320287447119,0.0592278448989084,0.0003880262285218104,0.0005598175763915986
259,ESP,2018,0.03940026858570084,0.059512850209027156,0.0003019114459083516,0.0006029979971557515
260,ESP,2019,0.039923108214817773,0.060553876095746834,0.0002975169696341211,0.0003373986009523679
261,ESP,2020,0.04605238688149376,0.07575623398221995,0.00034094511757735323,0.000363084410926532
262,ESP,2021,0.04523365121402796,0.07166561174091886,0.00035613861562444854,0.00041117821985731784
263,ESP,2022,0.04271095033666304,0.06794192609503744,0.0002846474557540652,0.00038947925531566453
264,ESP,2023,0.042073676988421765,0.0658228794306172,0.00041646533059605306,0.00040111484565421137
265,EST,2000,0.00409146706295127,0.0028934589766362578,5.4925976275688275e-05,2.2799461850285704e-05
266,EST,2001,0.004057971795440777,0.0027745798583309255,4.210843730888241e-05,2.380042108762919e-05
267,EST,2002,0.0041615313996356896,0.0027950462118848537,4.4106515324892494e-05,2.4503619624940274e-05
268,EST,2003,0.004001339501206792,0.0027299131439935303,4.0188764164786986e-05,2.119043928688768e-05
269,EST,2004,0.003936127911443844,0.002695100698454992,2.4180098409998712e-05,4.63996483002678e-05
270,EST,2005,0.003767935116224457,0.002629669515344094,1.4643694024190718e-05,3.998854906605926e-05
271,EST,2006,0.0037444653682069218,0.0027554591007014064,1.130831368276911e-05,4.8060333151768716e-05
272,EST,2007,0.0036666365110034882,0.002813477356828219,5.843555850515547e-06,5.80459881151211e-05
273,EST,2008,0.004139679915667919,0.0033510779979852388,6.145947726703786e-06,5.569765127325306e-05
274,EST,2009,0.004486757334821113,0.0037895613024565536,1.3572927301062153e-05,5.926844921463807e-05
275,EST,2010,0.004167514359911207,0.0036269998504442178,2.6895585543301226e-05,4.9019373651500616e-05
276,EST,2011,0.06061454234139051,0.05214475311788915,0.00044797897867602366,0.0006211975170974196
277,EST,2012,0.06071359400093747,0.05188936159719498,0.00036491186632017775,0.000757468570997945
278,EST,2013,0.058340892514420456,0.051650997684054886,0.0003391912355489561,0.0007566573716092099
279,EST,2014,0.05437605999927248,0.052240103154439214,0.000270063509116849,0.0008052802817302407
280,EST,2015,0.058141292001741104,0.055747294795055136,0.00022369357597264508,0.0007329534191444115
281,EST,2016,0.05546001504622329,0.05294975757988603,0.0002163238032032113,0.0007886805325117078
282,EST,2017,0.05572024055319069,0.051410342250751855,0.00020151242062929693,0.0007361372100539622
283,EST,2018,0.06084315311414254,0.05334271965490192,0.00019290070923916883,0.0006732612989131775
284,EST,2019,0.059644431104271256,0.05544031003303037,0.00020370845625060255,0.0007410773149806405
285,EST,2020,0.06316385174079525,0.06462476483157797,0.0002620310949069758,0.000746609147132205
286,EST,2021,0.0587800703453432,0.06486789266612915,0.00027657469551351313,0.0007566066383013349
287,EST,2022,0.057243123848452336,0.05919961429972249,0.0002689145360792066,0.0007024706248599683
288,EST,2023,0.06282376688226712,0.06519625376465361,0.0001073641966642888,0.0007672612103082102
289,EU27_2020,2015,,,,
290,EU27_2020,2018,,,,
291,EU27_2020,2019,,,,
292,EU27_2020,2020,,,,
293,EU27_2020,2021,,,,
294,EU27_2020,2022,,,,
295,EU27_2020,2023,,,,
296,FIN,2000,0.0585250685554228,0.057197952869062055,,
297,FIN,2001,0.05895044014023943,0.05845947459772248,0.002759088048792438,0.002717598002945935
298,FIN,2002,0.061034761519805955,0.061903799514955504,0.00278226893020749,0.0026273241713823756
299,FIN,2003,0.06288806570257412,0.06415360480905082,0.0028342802905467843,0.0026497225041855984
300,FIN,2004,0.062183052897486046,0.06478477519985275,0.002746612406372598,0.0026332201510636376
301,FIN,2005,0.061020489961495956,0.06658933841837213,0.002653856898205985,0.002447378329466846
302,FIN,2006,0.059683792179843556,0.06670099096962259,0.0025396127524426985,0.0023949878804357116
303,FIN,2007,0.05767698961290324,0.06464805221881907,0.0023040858766485584,0.002400312200963348
304,FIN,2008,0.05821274317513752,0.06699510432271309,0.002203312175358937,0.002445264680596951
305,FIN,2009,0.06480864995735547,0.07406938674443557,0.0026522133876248377,0.002635705835419704
306,FIN,2010,0.06538504467251821,0.07328312436552438,0.0028169463238851126,0.0026149765874556134
307,FIN,2011,0.06434949786243745,0.07375477473375369,0.0027927449343553325,0.0025195416255597027
308,FIN,2012,0.06421862679535673,0.07736378245116723,0.0030242841030452424,0.0025601612951521606
309,FIN,2013,0.06389774787834768,0.07860066733170584,0.003292431829461889,0.002535663916421395
310,FIN,2014,0.06371960846226613,0.07851643146875102,0.00360447888076553,0.0024871875834931957
311,FIN,2015,0.06362754053436855,0.07296662099413866,0.004367435487554234,0.0023978077186572262
312,FIN,2016,0.06243365149710199,0.07220107826458,0.0050065595201121285,0.0022946731133847253
313,FIN,2017,0.05811148789974518,0.0706300677329496,0.005620677685509126,0.0021094229793597193
314,FIN,2018,0.05756236389900939,0.0714775446842445,0.006420732627584463,0.002052564627757021
315,FIN,2019,0.05852388498981111,0.07209099522887041,0.006251100545870648,0.0020082341793910396
316,FIN,2020,0.061187797975353016,0.07733081768455843,0.0066289601374017,0.0019501918464213041
317,FIN,2021,0.059289125436156415,0.0783795082889808,0.0063956199450081255,0.002548600279783251
318,FIN,2022,0.05790909500834201,0.07544227502968545,0.005880717259623336,0.002487562189054728
319,FIN,2023,0.06324454851456172,0.07580857602809897,0.006164934874871949,0.002476950095126593
320,FRA,2000,0.05619479323384898,0.07006229244814383,0.009422352896704981,0.0070375827959399785
321,FRA,2001,0.05647646785518543,0.07057777518676146,0.009292379849849285,0.006718642907332302
322,FRA,2002,0.05815765824443364,0.07329960824425628,0.009506247868000287,0.0074629494559567714
323,FRA,2003,0.057917314096272626,0.0757689885699013,0.009221402925502751,0.0075965621426401005
324,FRA,2004,0.05575117664992535,0.07616261632442212,0.00918514785352355,0.007645151307313684
325,FRA,2005,0.05529305477938926,0.07692016510108983,0.009004296535218363,0.007463475591494813
326,FRA,2006,0.05481628376018258,0.07593684751547705,0.00875775614229259,0.0074527870975234405
327,FRA,2007,0.05314064679979862,0.07476328597444576,0.008374115520170249,0.007199117920994278
328,FRA,2008,0.05393719406088351,0.07457991074069004,0.008739699810004994,0.0071949759590416
329,FRA,2009,0.05670870973750834,0.07957991573891282,0.009852569442457089,0.007958818088393873
330,FRA,2010,0.056405693352921754,0.07975501522963926,0.00906779509448338,0.0073018294752538815
